,Index,GroundTruth,Prediction,Pred_prob,Is_Correct
2856,2856,Fake,True,0.5801785633806242,Incorrect
2857,2857,Fake,True,0.7240518659454365,Incorrect
2883,2883,Fake,True,0.9229103012576332,Incorrect
2884,2884,Fake,True,0.5210997640165298,Incorrect
2885,2885,Fake,True,0.6884313629031842,Incorrect
2892,2892,Fake,True,0.5012703225947255,Incorrect
2895,2895,Fake,True,0.685707258066636,Incorrect
2902,2902,Fake,True,0.6101364169975745,Incorrect
2908,2908,Fake,True,0.5668142862921309,Incorrect
2912,2912,Fake,True,0.7281383113456377,Incorrect
2913,2913,Fake,True,0.5760695040928168,Incorrect
2916,2916,Fake,True,0.5873328162904339,Incorrect
2918,2918,Fake,True,0.6454886556922899,Incorrect
2935,2935,Fake,True,0.8143374297981572,Incorrect
2936,2936,Fake,True,0.5616788909076968,Incorrect
2946,2946,Fake,True,0.525957425139415,Incorrect
2954,2954,Fake,True,0.5592935206435652,Incorrect
2958,2958,Fake,True,0.5797906841757492,Incorrect
2971,2971,Fake,True,0.5530395174783891,Incorrect
2972,2972,Fake,True,0.5677963040904441,Incorrect
2980,2980,Fake,True,0.5427474822323447,Incorrect
2992,2992,Fake,True,0.5296295235220148,Incorrect
3012,3012,Fake,True,0.5473232549991824,Incorrect
3024,3024,Fake,True,0.5175001173637204,Incorrect
3035,3035,Fake,True,0.6520676283405029,Incorrect
3042,3042,Fake,True,0.5584464844321424,Incorrect
3047,3047,Fake,True,0.8218776895708316,Incorrect
3056,3056,Fake,True,0.5495998889005336,Incorrect
3058,3058,Fake,True,0.5754814106369246,Incorrect
3063,3063,Fake,True,0.5101598963699354,Incorrect
3068,3068,Fake,True,0.6916290952179039,Incorrect
3069,3069,Fake,True,0.5718356210984198,Incorrect
3083,3083,Fake,True,0.5368476467102774,Incorrect
3102,3102,Fake,True,0.5912502719951778,Incorrect
3103,3103,Fake,True,0.5196921878082945,Incorrect
3113,3113,Fake,True,0.5400009814172497,Incorrect
3115,3115,Fake,True,0.5297290701275896,Incorrect
3123,3123,Fake,True,0.6905618446447965,Incorrect
3126,3126,Fake,True,0.6362156780079327,Incorrect
3148,3148,Fake,True,0.5402360490075842,Incorrect
3151,3151,Fake,True,0.7540278782355091,Incorrect
3155,3155,Fake,True,0.5228163145944237,Incorrect
3158,3158,Fake,True,0.8762340209152237,Incorrect
3162,3162,Fake,True,0.5475776648926124,Incorrect
3170,3170,Fake,True,0.7595099227722155,Incorrect
3197,3197,Fake,True,0.5611158460679683,Incorrect
3210,3210,Fake,True,0.7287664165175922,Incorrect
3213,3213,Fake,True,0.7231798375297493,Incorrect
3221,3221,Fake,True,0.8095996847726491,Incorrect
3227,3227,Fake,True,0.6035002233381006,Incorrect
3232,3232,Fake,True,0.5145994542337831,Incorrect
3233,3233,Fake,True,0.6258204806676883,Incorrect
3234,3234,Fake,True,0.5809711512606146,Incorrect
3235,3235,Fake,True,0.7038394819113885,Incorrect
3252,3252,Fake,True,0.6058491542986009,Incorrect
3257,3257,Fake,True,0.5167967254108934,Incorrect
3260,3260,Fake,True,0.5807381389989242,Incorrect
3275,3275,Fake,True,0.8495086104377243,Incorrect
3276,3276,Fake,True,0.5869930503731321,Incorrect
3289,3289,Fake,True,0.7394277292563459,Incorrect
3292,3292,Fake,True,0.5204009320496807,Incorrect
3300,3300,Fake,True,0.6433720395694613,Incorrect
3301,3301,Fake,True,0.8889119684890158,Incorrect
3318,3318,Fake,True,0.5602801873587135,Incorrect
3323,3323,Fake,True,0.5123521960276225,Incorrect
3334,3334,Fake,True,0.7706184049848348,Incorrect
3367,3367,Fake,True,0.80703051090417,Incorrect
3372,3372,Fake,True,0.5115445250296057,Incorrect
3412,3412,Fake,True,0.765782917957397,Incorrect
3458,3458,Fake,True,0.6733872917460652,Incorrect
3473,3473,Fake,True,0.8298971963790734,Incorrect
3486,3486,Fake,True,0.7619285061073754,Incorrect
3491,3491,Fake,True,0.5012539311892102,Incorrect
3517,3517,Fake,True,0.5785458554688513,Incorrect
3522,3522,Fake,True,0.5539740775467238,Incorrect
3578,3578,Fake,True,0.6202501151355491,Incorrect
3597,3597,Fake,True,0.8167978896076437,Incorrect
