,Index,GroundTruth,Prediction,Pred_prob,Is_Correct
5064,5064,True,Fake,0.6387567520141602,Incorrect
5071,5071,True,Fake,0.9245007038116456,Incorrect
5111,5111,True,Fake,0.5510708093643188,Incorrect
5144,5144,True,Fake,0.8230589628219604,Incorrect
5197,5197,True,Fake,0.5006464123725891,Incorrect
5202,5202,True,Fake,0.6319931745529175,Incorrect
5233,5233,True,Fake,0.7469698190689087,Incorrect
5244,5244,True,Fake,0.7327327132225037,Incorrect
5262,5262,True,Fake,0.5137193202972412,Incorrect
5265,5265,True,Fake,0.7652212381362915,Incorrect
5276,5276,True,Fake,0.6105396747589111,Incorrect
5305,5305,True,Fake,0.5511993765830994,Incorrect
5310,5310,True,Fake,0.9098975658416748,Incorrect
5322,5322,True,Fake,0.642781138420105,Incorrect
5399,5399,True,Fake,0.6447463035583496,Incorrect
5400,5400,True,Fake,0.9549287557601928,Incorrect
5442,5442,True,Fake,0.5662890076637268,Incorrect
5444,5444,True,Fake,0.7202121615409851,Incorrect
5448,5448,True,Fake,0.7848066687583923,Incorrect
5455,5455,True,Fake,0.7392551898956299,Incorrect
5498,5498,True,Fake,0.6928275227546692,Incorrect
5499,5499,True,Fake,0.7780419588088989,Incorrect
5503,5503,True,Fake,0.8937081098556519,Incorrect
5522,5522,True,Fake,0.8676291704177856,Incorrect
5558,5558,True,Fake,0.8314764499664307,Incorrect
5573,5573,True,Fake,0.9400737285614014,Incorrect
5598,5598,True,Fake,0.6010918021202087,Incorrect
5607,5607,True,Fake,0.5570777654647827,Incorrect
5616,5616,True,Fake,0.525088369846344,Incorrect
5622,5622,True,Fake,0.7351602911949158,Incorrect
5691,5691,True,Fake,0.7621600031852722,Incorrect
5695,5695,True,Fake,0.6240828633308411,Incorrect
5711,5711,True,Fake,0.700430154800415,Incorrect
5733,5733,True,Fake,0.9951781034469604,Incorrect
5775,5775,True,Fake,0.9515364170074464,Incorrect
5850,5850,True,Fake,0.956504225730896,Incorrect
5914,5914,True,Fake,0.5645281076431274,Incorrect
5915,5915,True,Fake,0.6191971898078918,Incorrect
5928,5928,True,Fake,0.574379026889801,Incorrect
6123,6123,True,Fake,0.5987218022346497,Incorrect
6144,6144,True,Fake,0.5194358825683594,Incorrect
6152,6152,True,Fake,0.9950396418571472,Incorrect
6172,6172,True,Fake,0.5762196779251099,Incorrect
6266,6266,True,Fake,0.5236802697181702,Incorrect
6328,6328,True,Fake,0.5395381450653076,Incorrect
6349,6349,True,Fake,0.6573164463043213,Incorrect
6397,6397,True,Fake,0.5048145651817322,Incorrect
6465,6465,True,Fake,0.9079410433769226,Incorrect
6466,6466,True,Fake,0.9625906348228456,Incorrect
6502,6502,True,Fake,0.9513068199157716,Incorrect
6547,6547,True,Fake,0.6083180904388428,Incorrect
6575,6575,True,Fake,0.7274604439735413,Incorrect
6576,6576,True,Fake,0.5023778676986694,Incorrect
6598,6598,True,Fake,0.5989934802055359,Incorrect
6660,6660,True,Fake,0.5528048872947693,Incorrect
6663,6663,True,Fake,0.6880342960357666,Incorrect
6672,6672,True,Fake,0.6438966393470764,Incorrect
6727,6727,True,Fake,0.5918639898300171,Incorrect
6752,6752,True,Fake,0.5775289535522461,Incorrect
6754,6754,True,Fake,0.98023521900177,Incorrect
6777,6777,True,Fake,0.9946364760398864,Incorrect
6791,6791,True,Fake,0.732776403427124,Incorrect
6867,6867,True,Fake,0.6027157306671143,Incorrect
6891,6891,True,Fake,0.8142999410629272,Incorrect
6954,6954,True,Fake,0.8522962331771851,Incorrect
6965,6965,True,Fake,0.9958473443984984,Incorrect
6985,6985,True,Fake,0.6652180552482605,Incorrect
7009,7009,True,Fake,0.5839200019836426,Incorrect
7037,7037,True,Fake,0.5207082033157349,Incorrect
7115,7115,True,Fake,0.9486510157585144,Incorrect
7142,7142,True,Fake,0.5192787647247314,Incorrect
7146,7146,True,Fake,0.6083512902259827,Incorrect
7152,7152,True,Fake,0.8628068566322327,Incorrect
7174,7174,True,Fake,0.9309236407279968,Incorrect
7194,7194,True,Fake,0.5406749248504639,Incorrect
